表格,FCA编号,中文名称,CAS号,使用范围和最大使用量/%,SML/QM/(mg/kg),SML(T)/(mg/kg),SML(T),分组编号,其他要求
A1,FCA1185,妥尔油脂肪酸,61790-12-3,按生产需要适量使用,,,,,
A1,FCA1186,微晶石蜡与烃蜡,63231-60-7,"PE,PP:按生产需要适量使用",,,,,
A1,FCA1187,微粒状银,7440-22-4,"PE,PP,PS,PET,PA:按生产需要适量使用",";AS,ABS:5",0.05(SML),,,
A1,FCA1190,戊烷,78-78-4;109-66-0,"PE,PP,PS,AS,ABS,PA,PET,PC,PVC,PVDC,UP:按生产需要适量使用",,,,,
A1,FCA1193,硝酸钠,7631-99-4,"PE,PP,PS,ABS,PC,PVDC:按生产需要适量使用",,,,,
A1,FCA1195,辛基膦酸,4724-48-5,"PP,PE,PS,PVC,PA,PC,ABS,AS,PET,UP:按生产需要适量使用",0.05(SML),,,,
A1,FCA1196,辛酸,124-07-2,"PE,PET,PA,PP,PS,AS,ABS,PC,PVC,PVDC,UP:按生产需要适量使用",,,,,
A1,FCA1197,辛酸钴,6700-85-2,UP:0.03(以钴计,),钴元素,SML应符合附录,,C规定
A1,FCA1198,新癸酸钴,27253-31-2,"PA,PET:0.05","0.05(以新癸酸计 ,SML)",生产的材料或制品仅用于接触非脂肪性食品,;钴元素,,SML应符合附录 C规定
A1,FCA1199,新癸酸镁,57453-97-1,PVC:2,,,,,
A1,FCA1201,溴化亚铜,7787-70-4,"PP,PE,PS,PVC,PA,PC,ABS,AS,PET,UP:按生产需要适量使用",铜元素,SML应符合附录,C规定,,
A1,FCA1207,亚甲基丁二酸与 2-丙烯酸乙酯和 2-甲基 -2-丙烯酸甲酯的聚合物,24980-96-9,"ABS,AS,PA,PC,PE,PET,PP,PS,PVC,PVDC,UP:按生产需要适量使用",6(以丙烯酸计 );6(以甲基丙烯酸计 ),22;23,,,
A1,FCA1209,"亚磷酸三 (2,4-二叔丁基苯 )酯 ;三 (2,4-二叔丁基苯基 )亚磷酸酯 ;抗氧剂 168",31570-04-4,"PB-1:0.15;PE,PS,EVA:0.2;PP:0.25;PEI,PC:0.3;AS,ABS:0.4;PA:1;PAAM,PMMA:0.5",,,,,
A1,FCA1210,亚磷酸一苯二异辛酯,26544-22-9,"PE,PP,PS,AS,ABS,PA,PET,PC,PVC,PVDC,UP:2",,,,,
A1,FCA1211,亚硫酸钠,7757-83-7,"PP,PE,PS,PVC,PA,PC,ABS,AS,PET,UP:按生产需要适量使用",10,19,,,
A1,FCA1214,亚硝酸钠,7632-00-0,PS:5,0.6(SML),,,,
A1,FCA1222,氧化钙,1305-78-8,"PE,PP,PS,AS,ABS,PA,PET,PC:按生产需要适量使用",,,,,
A1,FCA1223,氧化钴,11104-61-3,"PE,PP,PS,AS,ABS,PET,PC:按生产需要适量使用",钴元素,SML应符合附录,C规定,,
A1,FCA1224,氧化镁,1309-48-4,"PE,PP,PS,AS,ABS,PA,PET,PC:按生产需要适量使用",,,,,
A1,FCA1225,氧化锰,11129-60-5,"PP,PE,PS,PVC,PA,PC,ABS,AS,PET,PVDC,UP:按生产需要适量使用",锰元素,SML应符合附录,C规定,,
A1,FCA1226,氧化硼钠,1330-43-4,"PP,PE,PS,PVC,PA,PC,ABS,AS,PET,UP:按生产需要适量使用",6,16,,,
A1,FCA1227,氧化双 (氢化牛烷基 )胺,143925-92-2,"PE,PP:0.1",,,,,
A1,FCA1228,氧化乙烯的均聚物,68441-17-8,"PE,PP,PS,AS,ABS,PVC,PVDC,PET,PC,POM,PA,PBT,TPC-ET,UP:按生产需要适量使用",1(环氧乙烷 :QM)或,ND(环氧乙烷,":SML,DL=0.01mg/kg)",,
A1,FCA1230,椰油脂肪酸二乙酰胺,61791-14-8;61791-31-9,"PP,PE:0.1",,,,,
A1,FCA1231,椰子脂肪酸氧二 (丙二醇 )酯,85711-49-5,"PVC,PE,PP:按生产需要适量使用",,,,,
A1,FCA1232,乙醇,64-17-5,"PE,PP,PS,AS,ABS,PA,PET,PC:按生产需要适量使用",,,,,
A1,FCA1234,乙二胺四乙酸,60-00-4,"PS,PC:0.05",,,,,
A1,FCA1235,乙二胺四乙酸二钠盐,139-33-3,PVDC:0.2,,,,,
A1,FCA1237,乙二胺四乙酸四钠盐,64-02-8,按生产需要适量使用,,,,,
A1,FCA1241,乙二酸 ;草酸,144-62-7,"PP,PE,PS,PVC,PA,PC,ABS,AS,PET,UP:按生产需要适量使用",6(SML),,,,
A1,FCA1245,乙酸,64-19-7,"PE,PP,PS,AS,ABS,PA,PET,PC,PVC,PVDC,UP:按生产需要适量使用",,,,,
A1,FCA1250,乙酸钙,62-54-4,按生产需要适量使用,,,,,
A1,FCA1251,乙酸钾,127-08-2,"PE,PP,PS,ABS,PC,PVDC:按生产需要适量使用",,,,,
A1,FCA1252,乙酸镁 (乙酸镁四水合物 ),142-72-3;16674-78-5,EVOH:1(以乙酸镁计,);聚酯树脂,:按生产需要适量使用,,,
A1,FCA1253,乙酸钠,127-09-3,PET:按生产需要适量使用,,,,,
A1,FCA1257,乙酸乙烯酯与乙烯醇的聚合物,25213-24-5,"PP,PS,PE,AS,ABS:按生产需要适量使用",12(醋酸乙烯酯 :SML),,,,
A1,FCA1258,乙酸乙烯酯与乙烯的聚合物,24937-78-8,"PE,PP:按生产需要适量使用",12(乙酸乙烯酯 :SML),,,,
A1,FCA1267,"乙烯基硅烷  — PE,PP,PS,AS,ABS,PA,PET,PC,PVC,PVDC,UP:2",,,,,,,
A1,FCA1268,乙烯与丙烯的共聚物,9010-79-1,"PP,PE:按生产需要适量使用",,,,,
A1,FCA1272,乙氧化二甲基 -3-羟丙基甲基 (硅氧烷与聚硅氧烷 ),68937-54-2,"PP,PE:0.3",,,,,
A1,FCA1273,乙氧基 (富 C13、异 C11~C14)醇,78330-21-9,"PE,PP:按生产需要适量使用",,,,,
A1,FCA1275,乙氧基 C16~C18醇,68439-49-6,"PP,PE,PS,PVC,PA,PC,ABS,AS,PET,PVDC,UP:按生产需要适量使用",0.05(SML),,,,
A1,FCA1277,乙氧基化 C14~C18与 C16~C18不饱和烷基胺,68155-39-5,"PE,PP,PS,AS,ABS,PET,PC:按生产需要适量使用",,,,,
A1,FCA1279,乙氧基化蓖麻油,61791-12-6,按生产需要适量使用  42(SML),,,,,
A1,FCA1282,乙氧基化的 C13~C15烷基胺,70955-14-5,PE:0.2;PP:0.1,,,,,
A1,FCA1284,异丙醇,67-63-0,"PE,PP,PS,AS,ABS:按生产需要适量使用",,,,,
A1,FCA1285,异丁烯与丁烯的共聚物,9044-17-1,PE:2,,,,,
A1,FCA1288,"银玻璃  — PE,PP,PS,AS,ABS,PA,PET,PC,PVDC:2.25 0.05(以银计 ,SML)",,,,,,,
A1,FCA1289,"银锌玻璃  — PE,PP,PS,AS,ABS,PA,PET,PC,PVDC:3 0.05(以银计 ,SML) 锌元素 SML应符合附录 C规定",,,,,,,
A1,FCA1290,"银锌沸石  — PE,PP,PS,AS,ABS,PA,PET,PC,PVDC:3 0.05(以银计 ,SML) 锌元素 SML应符合附录 C规定",,,,,,,
A1,FCA1291,硬脂酸 ;十八烷酸,57-11-4,按生产需要适量使用,,,,,
A1,FCA1292,硬脂酸 -2-辛基十二烷醇酯,22766-82-1,PC:0.5,,,,,
A1,FCA1293,硬脂酸丁酯 ;十八酸丁酯,123-95-5,"PE,PP,PS,AS,ABS,PA,PET,PC,PVC,PVDC:5",生产的材料或制品仅用于接触非脂肪性食品,,,,
A1,FCA1294,硬脂酸钙 ;十八酸钙盐,1592-23-0,"PE,PP,PS,AS,ABS,PA,PET,PC,PVC:5;PVDC:0.5;POM:按生产需要适量使用",,,,,
A1,FCA1295,硬脂酸钴 ;十八酸钴盐,13586-84-0,"PP,PE,PS,PVC,PA,PC,ABS,AS,PET,PVDC,UP,EVOH:按生产需要适量使用",钴元素,SML应符合附录,C规定,,
A1,FCA1296,硬脂酸镁,557-04-0,"PE,PP,PS,AS,ABS,PA,PET,PC,PVC,PVDC,UP:1",,,,,
A1,FCA1297,硬脂酸钠,822-16-2,"PP,PE,PS,PVC,PA,PC,ABS,AS,PET,PVDC,UP,PBT,PEI,PPE:按生产需要适量使用",,,,,
A1,FCA1298,硬脂酸锌,557-05-1;91051-01-3,"PE,PP,PS,AS,PA,ABS,PET,PVC,PC,PVDC,UP,PEI,PPE,PBT:3;EVA:6",锌元素,SML应符合附录,C规定,,
A1,FCA1299,"由 N-十八烷基二乙醇胺和十八烷酸 -2-[2-(羟乙基 )十八氨基乙酯及十八酸 (十八烷基亚氨基 )二 -2,1-乙二基酯组成的混合物  — PP:以微米为单位的膜厚度与用量的质量分数 (%)的乘积不超过 16 N-十八烷基二乙醇胺 :CAS号",10213-78-2,;十八烷酸 -2-[2-(羟乙基 )十八氨基乙酯 :CAS号,52497-24-2;十八酸,(十八烷基亚氨基,)二,,"-2,1-乙二基酯 :CAS号 94945-28-5酸值 ≤5mgKOH/g,总胺值 86±6mgKOH/g生产的材料或制品不得用于接触乙醇含量高于 8%的食品 ;生产的材料或制品使用温度低于 100℃"
A1,FCA1300,油醇 ;顺 -9-十八烯醇,143-28-2,PVC瓶盖垫圈 :1;其他,PVC制品,:3,,,
A1,FCA1301,油酸 ;顺 -9-十八烯酸 ;(Z)-9-十八烯酸,112-80-1,"PE,PP,PS,ABS,AS,PA,PET,PC,PVC:按生产需要适量使用",,,,,
A1,FCA1302,油酸钙,142-17-6,"PP,PE,PS,PVC,PA,PC,ABS,AS,PET,PVDC,UP:按生产需要适量使用",,,,,
A1,FCA1303,油酸季戊四醇酯,25151-96-6,"PP,PE,PS,PVC,PA,PC,ABS,AS,PET:按生产需要适量使用",0.05(SML),生产的材料或制品仅用于接触非脂肪性食品,,,
A1,FCA1304,云母,12001-26-2,"PE,PP,PS,AS,ABS,PA,PET,PC,PVC,PVDC,UP:3;PEI,PPE,PBT:1",应符合着色剂纯度要求,",见注",,,
A1,FCA1305,长石,68476-25-5,PP、PE:按生产需要适量使用,,,,,
A1,FCA1308,蒸汽轻裂化脱苯聚合氢化石脑油,68132-00-3,"PP,PE:30",,,,,
A2,FCA0001,"(1,1-二甲基乙基 )-4-甲氧基苯酚 ;叔丁基羟基茴香醚 (BHA)",25013-16-5,按生产需要适量使用  30(SML),,,,,
A2,FCA0002,"(1,1'-联苯基 )-4,4'-二醇",92-88-6,按生产需要适量使用  6(SML),,,,,
A2,FCA0012,(C16~C18、C18-不饱和酸 )甘油酯,67701-30-8,按生产需要适量使用,,,,,
A2,FCA0013,"(E,E )-2,4-己二烯酸",110-44-1,按生产需要适量使用,,,,,
A2,FCA0017,(Z )-9-十八烯酸酰胺 ;油酸酰胺,301-02-0,按生产需要适量使用,,,,,
A2,FCA0019,"(Z )-9-十八烯酰亚氨基双 -2,1-乙亚基聚环氧乙烷",26635-93-8,按生产需要适量使用  1(环氧乙烷 :QM)或,"ND(环氧乙烷 :SML,DL=0.01mg/kg)",,,,
A2,FCA0022,"(Z,Z)-N,N'-1,2-乙二亚基双 -9-十八烯酰胺",110-31-6,按生产需要适量使用 涂层中含量不超过 0.0085mg/cm2,,,,,
A2,FCA0023,"(Z,Z)-α-(1-氧代 -9-烯十八烷基 )-ω-[(1-氧代 -9-烯十八烷基 )氧代 ]聚氧乙烯",9005-07-6,按生产需要适量使用  30(SML) 所生产出的材料和制品使用温度不高于 100℃,,,,,
A2,FCA0024,[(乙烯基二甲硅基 )氧基和改性 (三甲硅基 )氧基 ]硅烷,68988-89-6,0.01,,,,,
A2,FCA0025,"[29H ,31H-酞菁根合 (2-)-N29,N30,N31,N32]氯化铜",68987-63-3,"按生产需要适量使用 应符合着色剂纯度要求 ,见注 ;铜元素 SML应符合附录 C规定",,,,,
A2,FCA0027,"1,1,1-三甲基 -N-(三甲基硅烷基 )硅烷胺与二氧化硅的水解物",68909-20-6,有机硅填料 :50,,,,,
A2,FCA0032,"1,1-二氯乙烯",75-35-4,"按生产需要适量使用  5(QM)或 ND(SML,DL=0.01mg/kg)",,,,,
A2,FCA0037,"1,2,3-丙三醇 -9-十八烯酸单酯",25496-72-4,按生产需要适量使用,,,,,
A2,FCA0040,"1,2,4-苯三羧酸",528-44-9,按生产需要适量使用  5 21,,,,,
A2,FCA0042,"1,2-丙二醇",57-55-6,按生产需要适量使用,,,,,
A2,FCA0043,"1,2-丙二醇与癸二酸的聚合物",26222-20-8,按生产需要适量使用,,,,,
A2,FCA0044,"1,2-二氨基乙烷",107-15-3,按生产需要适量使用  12(SML),,,,,
A2,FCA0046,"1,2-环氧丙烷",75-56-9,"按生产需要适量使用  1(QM)或 ND(SML,DL=0.01mg/kg)",,,,,
A2,FCA0047,"1,2-乙二醇",107-21-1,按生产需要适量使用  30 2,,,,,
A2,FCA0055,"1,3,5-三嗪 -2,4,6-三胺与丁基化甲基化甲醛的聚合物",68036-97-5,"按生产需要适量使用  2.5(1,3,5-三嗪 -2,4,6-三胺 /三聚氰胺 :SML)",15,15,用于生产婴幼儿专用食品接触材料及制品时,,",三聚氰胺 SML为 1mg/kg"
A2,FCA0056,"1,3,5-三嗪 -2,4,6-三胺与丁基化甲醛的聚合物",68002-25-5,"按生产需要适量使用  2.5(1,3,5-三嗪 -2,4,6-三胺 /三聚氰胺 :SML)",15,15,用于生产婴幼儿专用食品接触材料及制品时,,",三聚氰胺 SML为 1mg/kg"
A2,FCA0059,"1,3-苯二甲酸、1,4-苯二甲酸、1,2-乙二醇和壬二酸的聚合物",26336-35-6,按生产需要适量使用  30(以乙二醇计 );5(以间苯二甲酸计 );7.5(以对苯二甲酸计 ) 2;27;28,,,,,
A2,FCA0061,"1,3-苯二甲酸与 1,4-苯二甲酸、癸二酸、2,2-二甲基 -1,3-丙二醇、1,2-乙二醇和 2-乙基 -2-(羟甲基 )-1,3-丙二醇的聚合物",253780-96-0,"70 6(三羟甲基丙烷 :SML);0.05(2,2-二甲基","-1,3-丙二醇",:SML),30(以乙二醇计,,);5(以间苯二甲酸计 );7.5(以对苯二甲酸计 ) 2;27;28
A2,FCA0062,"1,3-丙二醇",504-63-2,按生产需要适量使用  0.05(SML),,,,,
A2,FCA0063,"1,3-丁二烯",106-99-0,"按生产需要适量使用  ND(SML,DL=0.01mg/kg)或 1(QM)",,,,,
A2,FCA0064,"1,3-二氢 -1,3-二氧代 -5-异苯并呋喃甲酰氯与 4,4'-亚甲基双苯胺的聚合物",25928-85-2,"按生产需要适量使用  0.05mg/dm2(偏苯三酸酐 ,QM);ND(芳香族伯胺 ,SML,DL=0.01mg/kg) 5 21",,,,,
A2,FCA0065,"1,3-二氢 -1,3-二氧代 -5-异苯并呋喃羧酸 ;偏苯三甲酸酐",552-30-7,按生产需要适量使用  5 21,,,,,
A2,FCA0067,"1,3-二异氰酸根合 -2-甲基苯",91-08-7,"按生产需要适量使用  1(以异氰酸根计 ,QM) ND(DL=0.01mg/kg) 17",,,,,
A2,FCA0069,"1,3-间苯二甲胺",1477-55-0,3 0.05(SML),,,,,
A2,FCA0072,"1,4-苯二甲酸与 1,2,4-偏苯三酸酐、2,2-二甲基 -1,3-丙二醇、乙二醇和己二酸的聚合物",114267-10-6,70 0.05(新戊基二醇 :SML),30(以乙二醇计 );5(以偏苯三甲酸计 );7.5(以对苯二甲酸计 ),2;21;28,,,
A2,FCA0074,"1,4-丁二醇",110-63-4,按生产需要适量使用  5 30,,,,,
A2,FCA0076,"1,4-丁二醇与 α-氢 -ω-羟基聚 (氧代 -1,4-丁二基 )和 1,1'-亚甲基双 (异氰酸根合苯 )的聚合物",37383-28-1,"按生产需要适量使用  1(以异氰酸根计 ,QM) ND(DL=0.01mg/kg) 17",,,,,
A2,FCA0077,"1,4-丁二醇与 α-氢化 -ω-羟基聚 (氧基 -1,4-亚丁基 )和 1,1'-亚甲基双 (4-异氰酸根合苯 )的聚合物",9018-04-6,"按生产需要适量使用  1(以异氰酸根计 ,QM) ND(DL=0.01mg/kg) 17",,,,,
A2,FCA0079,"1,4-二 (2-乙基己基 )丁二酸酯磺酸钠盐",577-11-7,按生产需要适量使用,,,,,
A2,FCA0080,"1,4-二 (羟甲基 )环己烷",105-08-8,按生产需要适量使用,,,,,
A2,FCA0081,"1,4-环己二酸",1076-97-7,按生产需要适量使用  5(SML),,,,,
A2,FCA0084,"1,6-二异氰酰己烷",822-06-0,"按生产需要适量使用  1(以异氰酸根计 ,QM) ND(DL=0.01mg/kg) 17 涂层厚度不超过 0.012cm",,,,,
A2,FCA0086,"1,6-己二胺",124-09-4,按生产需要适量使用  2.4(SML),,,,,
A2,FCA0109,1-十二烯,112-41-4,按生产需要适量使用  0.05(SML),,,,,
A2,FCA0110,1-十四碳烯,1120-36-1,按生产需要适量使用  0.05(SML),,,,,
A2,FCA0116,1-异氰酸根 -2-[(4-异氰酸根苯基 )甲基 ]苯,5873-54-1,"按生产需要适量使用  1(以异氰酸根计 ,QM) ND(DL=0.01mg/kg) 17",,,,,
A2,FCA0123,2-(二甲氨基 )乙醇,108-01-0,2 18(SML),,,,,
A2,FCA0132,"2,2'-[(1-甲基亚乙基 )双 (4,1-亚苯氧基亚甲基 )]双环氧乙烷",1675-54-3,"按生产需要适量使用  3(2,2-双 (4-羟基苯基 )丙烷 :SML);1(环氧乙烷",:QM)或,ND(环氧乙烷,":SML,DL=0.01mg/kg)",,
A2,FCA0135,"2,2-二甲基 -1,3-丙二醇",126-30-7,按生产需要适量使用  0.05(SML),,,,,
A2,FCA0136,"2,2-二羟甲基丁醇 ;3-羟甲基丙烷 ;TMP",77-99-6,0.45 6(SML),,,,,
A2,FCA0137,"2,2-二溴 -2-氰基乙酰胺",10222-01-2,0.0045,,,,,
A2,FCA0140,"2,2-双 [[3[3,5-双 (1,1-二甲基乙基 )-4-羟苯基 ]-1-氧代丙氧基 ]甲基 ]-1,3-丙二基 -3,5-双 (1,1-二甲基乙基 )-4-羟基苯丙酸酯 ;四 [3-(3,5-二叔丁基 -4-羟基苯基 )丙酸 ]季戊四醇酯 ;四 [3-(3,5-二叔丁基 -4-羟基苯基 )丙酸 ]季戊四醇酯",6683-19-8,按生产需要适量使用,,,,,
A2,FCA0141,"2,2'-双 [3,4-二羧酸基苯氧基苯基 ]丙烷二酐",38103-06-9,按生产需要适量使用  0.05(SML),,,,,
A2,FCA0150,"2,4,7,9-四甲基 -5-癸炔 -4,7-二醇",126-86-3,按生产需要适量使用,,,,,
A2,FCA0157,"2,4-二羟基二苯甲酮",131-56-6,按生产需要适量使用  6 8,,,,,
A2,FCA0166,"2,6-二甲基苯酚",576-26-1,按生产需要适量使用  0.05(SML),,,,,
A2,FCA0168,"2,6-萘二羧酸",1141-38-4,按生产需要适量使用  5(SML),,,,,
A2,FCA0169,"2-[(1,3-二氢 -1,3-二氧代 -2H-异吲哚基 )甲基 ]-5,12-二氢喹啉并 [2,3-b]吖啶 -7,14-二酮",75641-02-0,"按生产需要适量使用 应符合着色剂纯度要求 ,见注",,,,,
A2,FCA0172,"2-[[5-氨基 -3-甲基 -1-(3-磺苯基 -1H-吡唑 -4-基 ]偶氮 ]4,5-二氯苯磺酸钙盐 (1∶1)",111071-53-5,"按生产需要适量使用 应符合着色剂纯度要求 ,见注",,,,,
A2,FCA0177,2-氨基 -2-甲基 -1-丙醇,124-68-5,0.25 最大使用量为纸张用涂料中所使用颜料中的该物质的含量,,,,,
A2,FCA0179,2-苯丙烯,98-83-9,按生产需要适量使用  0.05(SML),,,,,
A2,FCA0186,2-丙烯酸 -2-甲基丙基酯,106-63-8,20 6 22,,,,,
A2,FCA0188,2-丙烯酸 -2-乙基己基酯与甲基丙烯酸甲酯和甲基丙烯酸 -2-羟乙基酯的聚合物,40704-95-8,按生产需要适量使用  0.05(2-丙烯酸 -2-乙基己基酯 :SML),6,23,,,
A2,FCA0191,2-丙烯酸的均聚物,9003-01-4,按生产需要适量使用  6 22,,,,,
A2,FCA0196,"2-丙烯酸丁酯与苯乙烯、2-甲基 -2-丙烯酸、2-丙烯酸乙酯和 2-甲基 -2-丙烯酸环氧乙烷基甲基酯的聚合物 ;丙烯酸丁酯与苯乙烯、甲基丙烯酸、丙烯酸乙酯和甲基丙烯酸缩水甘油酯的聚合物  — 按生产需要适量使用  0.02(2-甲基 -2-丙烯酸环氧乙烷基甲基酯 :SML) 6(以丙烯酸计 );6(以甲基丙烯酸计 ) 22;23 当 2-甲基 -2-丙烯酸环氧乙烷基甲基酯可与所接触食品或食品模拟物发生反应时 ,使用 0.02mg/6dm2(QM)作为其限量值。不得用于生产婴幼儿专用食品接触材料及制品",,,,,,,
A2,FCA0198,2-丙烯酸丁酯与乙酸乙烯基酯的聚合物,25067-01-0,"按生产需要适量使用  12(SML,乙酸乙烯酯 ) 6 22",,,,,
A2,FCA0203,2-丙烯酸辛酯,2499-59-4,按生产需要适量使用  6 22,,,,,
A2,FCA0204,2-丙烯酸乙酯与 2-丙烯酸 -2-乙基己基酯的聚合物,26376-86-3,按生产需要适量使用  0.05(2-丙烯酸 -2-乙基己基酯 :SML),6,22,,,
A2,FCA0208,2-丙烯酸与 2-丙烯酸丁酯、苯乙烯和 2-丙烯腈的聚合物,25586-25-8,"按生产需要适量使用  ND(丙烯腈 :SML,DL=0.01mg/kg)",6,22,,,
A2,FCA0217,2-丙烯酸与苯乙烯和 (1-甲基乙烯基 )苯的聚合物铵盐,89678-90-0,按生产需要适量使用  0.05(1-甲基乙烯基苯 :SML),6,22,,,
A2,FCA0222,2-丙烯酸与乙烯基苯聚合物的铵盐,35209-54-2,按生产需要适量使用  6 22,,,,,
A2,FCA0226,2-丁烯酸与乙酸乙烯基酯的聚合物,25609-89-6,按生产需要适量使用  12(乙酸乙烯酯 :SML);0.05(丁烯酸,:SML),无相应的丁烯酸迁移量检测方法时可使用,0.05mg/6dm2(QM)作为其限量值,,
A2,FCA0227,"2-甲基 -1,3-丁二烯",78-79-5,"按生产需要适量使用  ND(SML,DL=0.01mg/kg)或 1(QM)",,,,,
A2,FCA0229,2-甲基 -2-丙烯腈,126-98-7,"按生产需要适量使用  ND(SML,DL=0.01mg/kg)",,,,,
A2,FCA0231,"2-甲基 -2-丙烯酸 -1,1-二甲基乙基酯",585-07-9,按生产需要适量使用  6 23,,,,,
A2,FCA0232,"2-甲基 -2-丙烯酸 -1,2-乙二醇酯",97-90-5,按生产需要适量使用  0.05(SML),,,,,
A2,FCA0233,2-甲基 -2-丙烯酸 -2-丙烯基酯,96-05-9,按生产需要适量使用  0.05(SML),,,,,
A2,FCA0235,2-甲基 -2-丙烯酸 -2-丙烯基酯与丙烯酸丁酯、甲基丙烯酸和苯乙烯的共聚物  — 20 0.05(2-甲基 -2-丙烯酸 -2-丙烯基酯 :SML) 6(以丙烯酸计 );6(以甲基丙烯酸计 ) 22;23,,,,,,,
A2,FCA0236,"2-甲基 -2-丙烯酸 -2-乙基 -2-[[(2-甲基 -1-氧代 -2-丙烯基 )氧 ]甲基 ]-1,3-丙二醇酯",3290-92-4,按生产需要适量使用  0.05(SML),,,,,
A2,FCA0237,2-甲基 -2-丙烯酸丙基酯,2210-28-8,按生产需要适量使用  6 23,,,,,
A2,FCA0246,2-甲基 -2-丙烯酸甲酯与 2-丙烯酸丁酯、苯乙烯和 2-丙烯酸的聚合物,27306-39-4,按生产需要适量使用  0.05(2-丙烯酸 -2-乙基己基酯 :SML),6(以丙烯酸计 );6(以甲基丙烯酸计 ),22;23,,,
A2,FCA0247,2-甲基 -2-丙烯酸甲酯与 2-丙烯酸丁酯和 2-甲基 -2-丙烯酸 -2-丙烯基酯的聚合物,50658-01-0,按生产需要适量使用  0.05(甲基丙烯酸烯丙酯 :SML),6(以丙烯酸计 );6(以甲基丙烯酸计 ),22;23,,,
A2,FCA0249,2-甲基 -2-丙烯酸甲酯与 2-丙烯酸乙酯和 2-甲基 -2-丙烯酰胺的聚合物,30394-86-6,"按生产需要适量使用  ND(甲基丙烯酰胺 ,SML,DL=0.01mg/kg) 6(以丙烯酸计 );6(以甲基丙烯酸计 ) 22;23",,,,,
A2,FCA0250,2-甲基 -2-丙烯酸甲酯与 2-甲基 -2-丙烯酸缩水甘油酯和苯乙烯的聚合物,29564-58-7,按生产需要适量使用  0.02(2-甲基 -2-丙烯酸缩水甘油酯 :SML),6,23,当,,"2-甲基 -2-丙烯酸缩水甘油酯可与所接触食品或食品模拟物发生反应时 ,使用 0.02mg/6dm2(QM)作为其限量值"
A2,FCA0251,2-甲基 -2-丙烯酸甲酯与苯乙烯、2-丙烯酸 -2-乙基己酯、(1-甲基乙烯基 )苯和 2-丙烯酸的聚合物的铵盐,492467-53-5,按生产需要适量使用  0.05(2-丙烯酸 -2-乙基己酯 :SML),6(以丙烯酸计 );6(以甲基丙烯酸计 ),22;23,,,
A2,FCA0254,2-甲基 -2-丙烯酸甲酯与乙基 -2-丙烯酸盐和 2-丙烯酸的聚合物,25135-39-1,按生产需要适量使用  6(以丙烯酸计 );6(以甲基丙烯酸计 ) 22;23,,,,,
A2,FCA0256,2-甲基 -2-丙烯酸酐,760-93-0,按生产需要适量使用  6 23,,,,,
A2,FCA0257,2-甲基 -2-丙烯酸与 2-丙烯酸 -2-乙基己酯和 2-甲基 -2-丙烯酸甲酯的聚合物,25133-98-6,按生产需要适量使用  0.05(2-丙烯酸 2-乙基己基酯 :SML),6,23,,,
A2,FCA0259,2-甲基 -2-丙烯酸与 2-丙烯酸丁酯、2-丙烯酸乙酯和 2-甲基 -2-丙烯酸甲酯共聚物的铵盐,63120-11-6,按生产需要适量使用  6(以丙烯酸计 );6(以甲基丙烯酸计 ) 22;23,,,,,
A2,FCA0260,2-甲基 -2-丙烯酸与 2-丙烯酸丁酯、苯乙烯、(1-甲基乙烯基 )苯和 2-甲基 -2-丙烯酸甲酯的聚合物铵盐,665004-50-2,按生产需要适量使用  0.05(2-苯丙烯 :SML),6(以丙烯酸计 );6(以甲基丙烯酸计 ),22;23,,,
A2,FCA0264,2-甲基 -2-丙烯酸与 2-丙烯酸乙酯、2-甲基 -2-丙烯酸甲酯和 2-丙烯酸的聚合物,25053-63-8,按生产需要适量使用  6(以丙烯酸计 );6(以甲基丙烯酸计 ) 22;23,,,,,
A2,FCA0266,2-甲基 -2-丙烯酸与 2-丙烯酸乙酯和 2-甲基 -2-丙烯酸甲酯的共聚物,25133-97-5,按生产需要适量使用  6(以丙烯酸计 );6(以甲基丙烯酸计 ) 22;23,,,,,
A2,FCA0267,2-甲基 -2-丙烯酸与 2-甲基 -2-丙烯酸丁酯和 2-甲基 -2-丙烯酸甲酯的聚合物,28262-63-7,按生产需要适量使用  6 23,,,,,
A2,FCA0269,2-甲基 -2-丙烯酸与 2-甲基 -2-丙烯酸甲酯的聚合物,25086-15-1,按生产需要适量使用  6 23,,,,,
A2,FCA0273,2-甲基 -2-丙烯酸与苯乙烯、2-丙烯酸 -2-乙基己基酯和 2-甲基 -2-丙烯酸甲酯的聚合物,28377-44-8,按生产需要适量使用  0.05(2-丙烯酸 -2-乙基己基酯 :SML),6,23,,,
A2,FCA0275,2-甲基 -2-丙烯酸与丙烯酸的聚合物的钠盐,28205-96-1,按生产需要适量使用  6(以丙烯酸计 );6(以甲基丙烯酸计 ) 22;23,,,,,
A2,FCA0277,2-甲基 -3(2H )-异噻唑啉酮,2682-20-4,0.0025 0.5(SML) 仅用于水性涂料,,,,,
A2,FCA0279,2-甲基丙烯酸,79-41-4,按生产需要适量使用  6 23,,,,,
A2,FCA0282,2-甲基丙烯酸甲酯与 2-丙烯酸甲酯和 2-丙烯酸铵盐的共聚物,38811-87-9,按生产需要适量使用  6(以丙烯酸计 );6(以甲基丙烯酸计 ) 22;23,,,,,
