表格,FCA编号,中文名称,CAS号,使用范围和最大使用量/%,SML/QM/(mg/kg),SML(T)/(mg/kg),SML(T),分组编号,其他要求
A1,FCA0050,"1,3,5-苯三酰三氯",4422-95-1,PA:按生产需要适量使用,"0.05(1,3,5-苯三甲酸 :SML)",无相应的迁移量检测方法时可使用,0.05mg/6dm2(QM)作为其限量值,,
A1,FCA0051,"1,3,5-三 [(4-叔丁基 -3-羟基 -2,6-二甲基苯基 )甲基 ]-1,3,5-三嗪 -2,4,6(1H ,3H ,5H )-三酮",40601-76-1,"PE,PP,PS:0.1",6(SML),,,,
A1,FCA0052,"1,3,5-三 (3,5-二叔丁基 -4-羟基苄基 )-1,3,5-三嗪 -2,4,6(1H ,3H ,5H )-三酮",27676-62-6,"PP,ABS:0.25;PE,PET:0.5",5(SML),,,,
A1,FCA0053,"1,3,5-三甲基 -2,4,6-三 (3,5-二叔丁基 -4-羟苄 )苯",1709-70-2,"PE,PP,PS,ABS,PA,PET,PC,PVC,PVDC:0.5",,,,,
A1,FCA0054,"1,3,5-三嗪 -2,4,6-三胺 ;三聚氰胺",108-78-1,PP:0.1;POM:0.2,2.5(SML),所生产出的,POM材料和制品,,",使用温度不高于 100℃;用于生产婴幼儿专用食品接触材料及制品时 ,三聚氰胺 SML为 1mg/kg"
A1,FCA0057,"1,3:2,4-二 -O-(对氯苯亚甲基 )-D-山梨糖醇 ;DCBS;双氯苯基亚苄基山梨醇",82203-23-4,PP:0.3,不适用于,PP薄膜,,,
A1,FCA0058,"1,3:2,4-双 -O-[(3,4-二甲基苯基 )亚甲基 ]-D-葡糖醇",135861-56-2,"PP,PE:0.4",,,,,
A1,FCA0060,"1,3-苯二甲酸二甲酯",1459-93-4,"PP,PE,PS,PVC,PA,PC,ABS,AS,PET,UP:按生产需要适量使用",0.05(SML),,,,
A1,FCA0065,"1,3-二氢 -1,3-二氧代 -5-异苯并呋喃羧酸 ;偏苯三甲酸酐",552-30-7,PET:2,5,21,,,
A1,FCA0068,"1,3-二异氰酸基甲苯",26471-62-5,PU:按生产需要适量使用,"1(以异氰酸根计 ,QM)",ND(DL=0.01mg/kg),17,,
A1,FCA0069,"1,3-间苯二甲胺",1477-55-0,"PP,PE,PS,PVC,PA,PC,ABS,AS,PET,UP:按生产需要适量使用",0.05(SML),,,,
A1,FCA0070,"1,4-苯二甲酸",100-21-0,"PP,PE:0.075",7.5,28,,,
A1,FCA0071,"1,4-苯二甲酸二甲酯与 1,4-环己二甲醇和 1,2-乙二醇的聚合物",25640-14-6,"PC,PBT,ABS,PEI,PPE:按生产需要适量使用",30,2,,,
A1,FCA0073,"1,4-苯二羧酸双 (2-乙基己基 )酯 (DOTP)",6422-86-2,"PE,PP,AS,PS,ABS,PC,PA,PVDC,PET:按生产需要适量使用",;PVC:75,60,32,,
A1,FCA0078,"1,4-丁二醇与 ε-己内酯的共聚物",31831-53-5,"PE,PP,PS,ABS,AS,PA,PET,PC,PVC:0.1","0.05(以 6-羟基己酸和己内酯计 );5(以 1,4-丁二醇计 )",29;30,,,
A1,FCA0079,"1,4-二 (2-乙基己基 )丁二酸酯磺酸钠盐",577-11-7,"PE,PP,PS,AS,ABS:3",,,,,
A1,FCA0080,"1,4-二 (羟甲基 )环己烷",105-08-8,"PET,PC,PVC:按生产需要适量使用",,,,,
A1,FCA0081,"1,4-环己二酸",1076-97-7,聚酯树脂 :按生产需要适量使用,5(SML),,,,
A1,FCA0082,"1,4-双 [(2-乙基 -6-甲苯基 )氨基 ]蒽醌",41611-76-1,PET:0.2,应符合着色剂纯度要求,",见注",,,
A1,FCA0093,"10-乙基 -4,4-二辛基 -7-氧代 -8-氧杂 -3,5-二硫杂 -4-十四锡烷酸 -2-乙基己基酯",15571-58-1,"PVC:3;PE,PP,PS,AS,ABS,PA,PET,PC,PVDC,UP:1",0.006,10,,,
A1,FCA0094,12-羟基十八酸钙 (2∶1),3159-62-4,POM:1,,,,,
A1,FCA0095,12-羟基硬脂酸,106-14-9,"ABS,AS,PA,PC,PE,PET,PP,PS,PVC,PVDC,UP:按生产需要适量使用",,,,,
A1,FCA0096,12-羟基硬脂酸锂 (1∶1),7620-77-1,0.2 锂元素 SML应符合附录 C规定,,,,,
A1,FCA0097,"2-[2,6-双 (1-甲基乙基 )苯基 ]-6-[4-(1,1,3,3-四甲基丁基 )苯氧基 ]-1H-苯并 [de]异喹啉 -1,3(2H )-二酮",852282-89-4,PET:0.5,0.05(SML),生产的材料或制品用于接触非脂肪性食品时,",使用温度不高于室温",,";用于接触脂肪性食品时 ,使用温度不得高于 100℃;不得接触乙醇含量高于 20%的食品"
A1,FCA0099,"1-苯基 -1,3-二十烷二酮",58446-52-9,PVC:1,,,,,
A1,FCA0101,1-丁烯与 1-丙烯的聚合物,29160-13-2,按生产需要适量使用,,,,,
A1,FCA0102,1-丁烯与乙烯的聚合物,25087-34-7,"PP,PE,PS,PVC,PA,PC,ABS,AS,PET,UP:按生产需要适量使用",,,,,
A1,FCA0104,1-二十二醇,661-19-8,"PE,PP,PS,AS,ABS,PA,PET,PC,PVC,PVDC,UP:按生产需要适量使用",,,,,
A1,FCA0106,1-己烯与乙烯的聚合物,25213-02-9,"PE,PP:按生产需要适量使用",3(1-己烯 :SML),,,,
A1,FCA0107,1-甲基 -4-(1-甲基乙基 )环己烷单氢过氧化物衍生物,26762-92-5,"PE,PS,AS,ABS:按生产需要适量使用",0.05(SML),,,,
A1,FCA0108,1-萘酚与甲醛的聚合物,25359-91-5,PVC:按生产需要适量使用,0.05(1-萘酚与甲醛的聚合物 :SML),15,15,,
A1,FCA0112,1-辛烯与乙烯的聚合物,26221-73-8,"PP,PE,PS,PVC,PVDC,PA,PC,ABS,AS,PET,UP,PPE,PEI,PBT:按生产需要适量使用",15(辛烯 :SML),辛烯含量小于,30%,,
A1,FCA0115,1-乙烯基 -1H-咪唑,1072-63-5,PVC:40,0.05(SML),,,,
A1,FCA0117,"2-(1,1-二甲基乙基 )-6-甲基 -4-(3-((2,4,8,10-四 (1,1-二甲基乙基 )二苯并 [d,f][1,3,2]二磷环庚烷 -6-基 )氧基 )丙基 )苯酚",203255-81-6,"PE:0.35;PP,PS:0.5;PA:0.1","5(以物质的亚磷酸酯和磷酸酯及其水解产物计 ,SML)",,,,
A1,FCA0118,"2-(2H-苯并三唑 -2-基 )-4,6-二 (1-甲基 -1-苯乙基 )-苯酚",70321-86-7,ABS:1.2;PET:0.5;PC:3,1.5(SML),,,,
A1,FCA0119,2-(2H-苯并三唑 -2-基 )-4-甲基苯酚,2440-22-4,"PE,PP,PS,AS,ABS,PC:0.5;PA:按生产需要适量使用",;PET:0.2,30,12,,
A1,FCA0120,"2-(4,6-二苯基 -1,3,5-三嗪 -2-基 )-5-己氧基苯酚",147315-50-2,"PET,PC:0.5",0.05(SML),,,,
A1,FCA0121,"2-(5-氯 -2H-苯并三唑 -2-基 )-4,6-二 (1,1-二甲基乙基 )苯酚",3864-99-1,"PA,PC,PET:按生产需要适量使用",30,12,,,
A1,FCA0122,"2-(5-氯 -2H-苯三唑 -2-基 )-6-(1,1-二甲基乙基 )-4-甲基苯酚",3896-11-5,"PP,PE:0.5",30,12,,,
A1,FCA0124,"2-(乙烯氧基 )-1,2,3-丙三羧酸三丁基酯",77-90-7,"PVC,PP,PE,PS,PA,PC,ABS,AS,PET,PVDC,UP:按生产需要适量使用",60,32,,,
A1,FCA0125,"2,2'-(1,4-亚苯基 )双 -4H-3,1-苯并嗪 -4-酮",18600-59-4,"PE,PP,PS,AS,ABS,PA,PET,PC:1",0.05(SML),,,,
A1,FCA0126,"2,2'-(2,5-二苯基硫代 )双 [5-(1,1-二甲基乙基 )苯并唑 ]",7128-64-5,"PET,PE,PP,AS,ABS:0.05;PC:0.6;PS:0.02;PVC,PVDC,PEI,PPE,POM,PA,PBT,TPC-ET:0.015",0.6(SML),,,,
